DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
1961-01-01,13.67,0,0.2,0.0,9.5,0.0,3.7,-1.0
1961-01-02,11.5,0,5.1,0.0,7.2,0.0,4.2,1.1
1961-01-03,11.25,0,0.4,0.0,5.5,0.0,0.5,-0.5
1961-01-04,8.63,0,0.2,0.0,5.6,0.0,0.4,-3.2
1961-01-05,11.92,0,10.4,0.0,7.2,1.0,-1.5,-7.5
1961-01-06,10.67,0,0.0,0.0,6.5,0.0,1.2,-2.0
1961-01-07,9.17,0,1.9,0.0,9.2,1.0,-2.4,-7.1
1961-01-08,14.29,0,0.0,0.0,6.6,0.0,3.1,0.0
1961-01-09,8.04,0,8.3,0.0,6.8,0.0,2.4,-0.8
1961-01-10,11.42,0,0.0,0.0,6.5,0.0,3.0,0.5
1961-01-11,7.54,0,0.5,0.0,10.0,1.0,-3.1,-7.7
1961-01-12,15.54,0,6.0,0.0,12.2,1.0,-3.3,-2.2
1961-01-13,4.63,0,0.0,0.0,13.1,0.0,5.5,3.3
1961-01-14,3.08,0,0.0,0.0,5.6,1.0,-3.2,-6.1
1961-01-15,2.5,0,0.0,0.0,4.4,1.0,-5.0,-8.3
1961-01-16,9.25,0,0.0,0.0,4.6,1.0,-4.2,-8.3
1961-01-17,13.42,0,2.0,0.0,9.3,0.0,3.2,-2.7
1961-01-18,17.83,0,8.4,0.0,10.1,0.0,4.3,5.1
1961-01-19,3.71,0,0.9,0.0,6.6,0.0,1.6,-2.0
1961-01-20,3.17,0,21.5,0.0,9.3,1.0,-0.6,-5.4
1961-01-21,8.04,0,0.2,0.0,10.1,0.0,1.6,0.4
1961-01-22,9.38,0,0.3,0.0,6.5,0.0,5.5,1.3
1961-01-23,13.7,0,0.0,0.0,6.5,0.0,5.5,2.2
1961-01-24,20.38,0,9.5,0.0,5.3,0.0,3.4,0.5
1961-01-25,9.25,0,0.0,0.0,4.3,0.0,2.2,1.1
1961-01-26,14.33,0,0.7,0.0,13.0,0.0,2.2,-1.6
1961-01-27,16.79,0,1.5,0.0,12.3,0.0,3.7,2.7
1961-01-28,12.25,0,2.8,0.0,12.0,0.0,4.8,-2.2
1961-01-29,22.0,0,6.2,0.0,12.6,0.0,4.4,1.2
1961-01-30,14.5,0,1.4,0.0,7.8,0.0,3.7,0.8
1961-01-31,14.88,0,4.7,0.0,7.2,0.0,2.1,-0.5
1961-02-01,10.17,0,2.1,0.0,8.7,0.0,1.0,-2.2
1961-02-02,10.88,0,0.1,0.0,8.1,0.0,1.0,1.0
1961-02-03,8.5,0,4.0,0.0,8.1,1.0,-0.6,-5.0
1961-02-04,12.54,0,5.7,0.0,11.3,0.0,0.0,-1.1
1961-02-05,13.96,0,8.6,0.0,13.5,0.0,4.7,2.1
1961-02-06,19.17,0,0.5,0.0,7.8,0.0,2.1,1.5
1961-02-07,14.21,0,0.3,0.0,11.6,0.0,3.2,0.7
1961-02-08,16.5,0,4.4,0.0,14.6,0.0,4.4,2.4
1961-02-09,14.37,0,0.3,0.0,11.7,0.0,6.4,3.2
1961-02-10,11.08,0,0.8,0.0,10.7,0.0,7.3,3.1
1961-02-11,17.5,0,3.5,0.0,11.3,0.0,7.3,3.8
1961-02-12,11.71,0,0.0,0.0,15.5,0.0,7.1,4.3
1961-02-13,16.08,0,0.0,0.0,12.7,0.0,8.8,6.0
1961-02-14,15.46,0,0.0,0.0,13.3,0.0,10.0,7.7
1961-02-15,5.17,0,0.0,0.0,13.8,0.0,2.5,-3.3
1961-02-16,3.42,0,0.0,0.0,12.1,0.0,2.5,-2.6
1961-02-17,6.17,0,0.0,0.0,11.7,0.0,4.4,-0.4
1961-02-18,10.88,0,0.0,0.0,13.3,0.0,6.0,4.3
1961-02-19,9.62,0,0.0,0.0,14.5,0.0,8.2,-0.4
1961-02-20,7.25,0,0.0,0.0,13.1,0.0,5.3,-1.5
1961-02-21,3.75,0,0.0,0.0,8.6,0.0,4.7,-2.1
1961-02-22,8.25,0,0.0,0.0,7.5,0.0,5.1,2.5
1961-02-23,16.38,0,4.6,0.0,8.8,0.0,5.1,2.2
1961-02-24,8.17,0,0.7,0.0,11.0,0.0,6.1,4.4
1961-02-25,13.08,0,3.2,0.0,9.8,0.0,2.7,-1.3
1961-02-26,21.17,0,2.1,0.0,14.5,0.0,5.2,1.0
